
Angle_X Angle_Y Angle_Z Time 
144.78 97.79 69.94 11322
149.00 98.76 79.31 11375
155.76 98.17 82.23 11428
154.89 99.34 81.97 11482
158.77 99.34 80.29 11534
156.91 99.36 81.56 11587
159.40 100.02 81.82 11640
158.54 101.85 79.75 11694
161.66 99.93 85.94 11747
154.79 98.56 86.21 11800
159.80 99.46 90.22 11853
156.07 99.20 86.36 11907
159.20 99.78 88.10 11960
158.23 98.75 86.77 12013
155.22 100.21 86.96 12066
156.21 97.73 83.65 12120
154.34 99.40 82.23 12173
147.96 98.54 78.91 12225
149.41 100.45 78.75 12278
143.82 97.70 65.85 12332
145.58 98.51 66.66 12385
138.61 99.00 59.04 12438
126.81 99.91 52.70 12491
138.63 97.84 53.14 12545
120.45 97.72 41.54 12598
120.71 99.23 47.35 12651
110.93 97.89 37.88 12704
104.85 98.30 23.16 12756
101.18 98.90 34.59 12810
93.35 98.62 20.00 12863
94.38 99.13 24.47 12916
89.55 98.15 29.73 12969
85.74 97.01 nan 13023
87.34 98.61 36.58 13075
76.59 99.10 15.24 13128
78.02 98.65 22.47 13181
71.04 98.41 36.58 13235
68.23 99.53 27.38 13288
66.23 99.57 26.77 13341
66.00 99.68 32.62 13393
63.99 100.04 29.39 13447
62.63 99.70 35.49 13500
63.01 100.35 32.15 13553
61.95 100.35 35.90 13606
60.74 100.34 37.14 13660
65.25 99.85 28.72 13713
69.15 101.15 43.95 13765
77.58 98.66 nan 13818
76.92 99.93 26.43 13872
89.03 95.91 17.24 13925
97.76 96.86 30.53 13978
106.52 93.89 28.61 14030
108.43 96.14 43.69 14084
115.49 94.62 42.75 14137
117.62 97.08 32.25 14190
130.96 96.38 49.41 14243
130.59 97.80 51.82 14297
136.42 96.45 61.78 14350
142.79 96.86 59.56 14403
136.38 96.76 59.38 14456
141.67 97.35 62.51 14510
137.79 96.80 54.39 14562
137.01 97.08 58.98 14615
128.38 98.41 47.05 14668
126.34 96.90 44.79 14722
118.27 97.45 37.81 14775
105.38 96.94 22.03 14828
98.68 97.08 26.24 14881
89.79 97.24 24.47 14935
86.72 96.46 17.19 14988
81.17 97.49 25.69 15040
75.15 97.12 27.75 15093
72.29 97.27 30.81 15147
64.99 97.82 29.64 15200
61.51 98.31 28.98 15253
57.96 97.46 36.80 15306
56.81 97.82 35.64 15360
59.35 98.11 38.54 15412
58.32 96.87 35.39 15465
54.04 98.06 34.81 15518
68.35 97.04 28.87 15571
79.93 97.11 30.89 15625
80.39 92.39 21.58 15678
100.62 93.39 35.68 15731
104.12 95.17 23.51 15783
117.75 94.28 14.75 15837
108.71 97.55 29.10 15890
111.93 93.91 44.57 15943
113.88 93.54 34.54 15996
123.42 92.07 41.58 16050
118.46 94.16 43.58 16103
126.72 92.87 46.95 16156
120.62 94.87 20.76 16209
116.80 91.82 46.06 16263
107.78 90.06 30.73 16315
107.28 82.10 47.98 16368
107.17 81.85 32.85 16421
107.62 72.61 43.79 16475
nan 93.32 47.86 16528
101.45 81.36 nan 16580
100.05 84.92 27.35 16633
97.15 86.95 nan 16687
101.61 85.13 nan 16739
92.41 89.24 27.69 16792
97.72 84.96 28.34 16845
91.13 87.85 25.50 16899
88.42 89.55 25.07 16951
85.80 90.62 nan 17004
87.31 91.06 6.94 17057
89.12 89.57 nan 17110
86.28 87.72 nan 17163
90.04 84.42 34.09 17215
90.48 80.77 44.61 17268
90.83 78.99 34.37 17321
86.99 69.07 45.09 17375
88.45 70.74 23.40 17428
87.41 65.85 34.02 17481
90.03 65.34 32.44 17534
85.72 65.09 28.17 17587
90.20 58.83 38.78 17640
83.54 53.11 39.18 17693
83.59 52.95 51.75 17746
83.47 43.07 57.36 17800
83.06 48.09 48.22 17853
85.15 44.79 52.47 17905
86.01 44.43 44.49 17958
87.19 41.56 59.37 18012
87.17 36.84 61.36 18065
83.33 35.08 59.12 18118
84.18 39.49 59.58 18171
89.59 30.37 63.42 18225
86.81 33.31 63.73 18277
85.62 32.82 62.91 18330
85.27 33.36 65.95 18383
84.75 31.96 63.45 18437
87.68 31.05 64.30 18490
86.16 31.00 66.70 18543
88.03 32.93 66.85 18595
86.19 30.86 66.52 18649
84.89 30.70 66.58 18702
86.05 33.24 61.19 18755
86.94 29.27 67.78 18808
86.81 31.56 63.68 18862
89.24 24.10 72.50 18915
87.02 28.02 70.06 18967
86.25 22.69 71.72 19020
84.90 26.89 70.43 19074
87.86 25.89 71.05 19127
86.77 25.85 71.67 19180
87.15 25.53 69.67 19233
87.54 27.51 72.74 19286
85.80 23.58 70.76 19339
89.05 27.93 71.48 19392
85.41 25.47 73.62 19445
88.10 27.29 72.13 19499
85.90 20.00 71.52 19552
88.00 26.58 72.45 19605
85.59 25.66 73.85 19657
86.33 25.11 71.13 19710
87.34 24.27 71.85 19764
86.82 27.14 74.01 19817
87.09 23.01 75.35 19870
88.32 25.40 73.34 19923
86.75 33.87 62.06 19977
92.88 35.56 60.32 20029
88.50 46.10 56.66 20082
89.09 48.11 51.51 20135
88.50 56.66 42.93 20189
89.48 65.05 32.64 20242
91.51 67.48 41.73 20295
92.20 77.24 18.65 20348
90.85 84.63 22.87 20401
87.54 94.83 20.76 20454
89.57 98.72 nan 20507
88.89 97.14 24.57 20560
91.30 97.83 17.84 20613
86.18 98.41 30.26 20666
87.20 97.45 38.02 20719
91.20 99.00 nan 20772
87.61 98.01 37.26 20825
89.20 99.44 7.05 20878
88.63 96.77 24.20 20931
90.04 96.98 21.27 20984
90.85 99.02 28.40 21038
87.01 99.05 17.10 21091
80.80 99.90 24.81 21143
86.60 96.59 nan 21196
84.02 84.55 28.17 21250
85.06 94.44 21.65 21303
85.73 93.68 22.51 21355
84.17 94.59 24.88 21408
84.04 93.47 23.26 21462
84.70 93.85 22.83 21515
84.75 93.75 22.76 21568
85.46 93.70 21.35 21621
86.53 93.74 21.73 21675
86.50 94.19 22.54 21728
86.84 94.41 22.73 21780
85.24 93.86 22.73 21833
86.61 94.13 21.95 21886
86.84 94.56 23.93 21940
85.11 93.36 21.00 21993
85.34 93.51 21.88 22046
86.50 94.24 24.34 22099
85.41 94.19 21.84 22152
86.36 94.26 22.07 22205
85.51 93.44 22.73 22258
86.51 93.75 22.47 22311
85.20 93.63 23.75 22365
84.56 93.39 21.46 22418
86.07 93.85 21.84 22471
86.16 94.00 21.04 22523
84.51 93.40 22.58 22577
86.71 94.35 23.30 22630
