
Pot Pos Time 
1011 177 39589 
930 163 39691 
828 145 39791 
728 128 39891 
673 118 39993 
593 104 40093 
524 92 40195 
453 79 40295 
384 67 40395 
311 54 40497 
229 40 40597 
173 30 40698 
97 17 40799 
45 7 40899 
9 1 41000 
2 0 41101 
1 0 41201 
15 2 41302 
94 16 41403 
169 29 41503 
253 44 41604 
330 58 41705 
396 69 41805 
471 82 41906 
562 98 42007 
643 113 42107 
739 130 42209 
818 143 42309 
883 155 42409 
911 160 42511 
983 172 42611 
1016 178 42713 
1023 180 42813 
1021 179 42914 
1020 179 43015 
1021 179 43115 
1022 179 43216 
1022 179 43317 
1021 179 43418 
963 169 43518 
888 156 43620 
816 143 43720 
748 131 43822 
686 120 43922 
617 108 44022 
551 96 44124 
487 85 44224 
431 75 44325 
366 64 44426 
297 52 44526 
236 41 44627 
176 30 44728 
115 20 44828 
49 8 44930 
12 2 45030 
3 0 45130 
0 0 45232 
19 3 45332 
105 18 45432 
204 35 45533 
304 53 45634 
376 66 45734 
453 79 45836 
544 95 45936 
626 110 46036 
727 127 46138 
847 149 46238 
956 168 46340 
988 173 46440 
1023 180 46540 
1023 180 46642 
1021 179 46742 
904 159 46843 
697 122 46944 
647 113 47045 
675 118 47145 
824 144 47246 
807 141 47347 
596 104 47448 
572 100 47549 
736 129 47649 
848 149 47751 
791 139 47851 
594 104 47951 
515 90 48053 
575 101 48153 
770 135 48254 
929 163 48355 
935 164 48455 
855 150 48557 
680 119 48657 
567 99 48758 
497 87 48859 
438 77 48959 
390 68 49060 
340 59 49161 
304 53 49262 
259 45 49362 
220 38 49463 
180 31 49564 
146 25 49665 
131 23 49765 
123 21 49866 
197 34 49967 
311 54 50067 
425 74 50168 
517 90 50269 
578 101 50370 
646 113 50470 
724 127 50571 
809 142 50672 
871 153 50772 
910 160 50874 
937 164 50974 
933 164 51076 
868 152 51176 
764 134 51276 
695 122 51378 
626 110 51478 
557 98 51579 
464 81 51680 
393 69 51780 
326 57 51881 
274 48 51982 
239 42 52082 
211 37 52184 
163 28 52284 
119 20 52385 
65 11 52486 
35 6 52586 
19 3 52687 
23 4 52788 
16 2 52888 
18 3 52988 
104 18 53090 
219 38 53190 
318 55 53291 
414 72 53392 
514 90 53492 
602 105 53594 
698 122 53694 
804 141 53794 
876 154 53896 
962 169 53996 
1006 177 54097 
1016 178 54198 
1023 180 54299 
1020 179 54400 
1011 177 54500 
845 148 54601 
675 118 54702 
508 89 54803 
418 73 54903 
336 59 55005 
255 44 55105 
187 32 55205 
115 20 55307 
45 7 55407 
19 3 55507 
13 2 55609 
74 13 55709 
210 36 55810 
328 57 55911 
449 79 56011 
558 98 56112 
664 116 56213 
773 136 56313 
900 158 56414 
990 174 56515 
1004 176 56615 
1023 180 56717 
1022 179 56817 
1022 179 56919 
1013 178 57019 
866 152 57120 
714 125 57221 
609 107 57321 
535 94 57422 
447 78 57523 
394 69 57624 
394 69 57724 
498 87 57825 
550 96 57926 
551 96 58027 
554 97 58127 
660 116 58228 
782 137 58329 
687 120 58430 
431 75 58530 
427 75 58631 
673 118 58732 
799 140 58832 
606 106 58934 
423 74 59034 
400 70 59134 
661 116 59236 
855 150 59336 
855 150 59438 
547 96 59538 
393 69 59638 
453 79 59740 
782 137 59840 
872 153 59941 
744 130 60042 
438 77 60142 
380 66 60243 
527 92 60344 
896 157 60445 
916 161 60546 
585 102 60646 
401 70 60747 
419 73 60848 
745 131 60949 
924 162 61049 
828 145 61150 
468 82 61251 
372 65 61351 
344 60 61453 
547 96 61553 
855 150 61654 
967 170 61755 
747 131 61855 
413 72 61957 
339 59 62057 
339 59 62157 
332 58 62259 
332 58 62359 
332 58 62459 
331 58 62561 
332 58 62661 
332 58 62763 
331 58 62863 
331 58 62963 
332 58 63065 
331 58 63165 
332 58 63265 
331 58 63367 
331 58 63467 
332 58 63568 
331 58 63669 
332 58 63769 
331 58 63870 
332 58 63971 
332 58 64071 
331 58 64173 
332 58 64273 
332 58 64373 
331 58 64475 
